,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD
0,2018,Albania,43.3,50.5,50.5,All,240.0,0.00961,2.3064
1,2018,Algeria,11.1,14.5,18.8,DZD,300.0,0.00733,2.199
2,2018,Andorra,27.7,33.8,33.8,EUR,3.6,1.168889,4.2080004
3,2018,Austria,27.0,29.1,29.1,EUR,5.5,1.168889,6.4288895
4,2018,Belgium,23.4,25.0,25.0,EUR,6.6,1.168889,7.7146674
5,2018,Cyprus,29.9,36.7,36.7,EUR,4.5,1.168889,5.2600005
6,2018,Estonia,27.5,30.5,30.5,EUR,4.25,1.168889,4.96777825
7,2018,Finland,17.3,19.7,19.7,EUR,7.22,1.168889,8.43937858
8,2018,France,31.5,34.6,34.6,EUR,8.0,1.168889,9.351112
9,2018,Germany,26.0,28.0,28.0,EUR,6.4,1.168889,7.480889600000001
10,2018,Greece,35.6,39.1,39.1,EUR,4.6,1.168889,5.3768894
11,2018,Ireland,21.1,23.6,23.6,EUR,12.2,1.168889,14.2604458
12,2018,Italy,22.8,23.4,23.4,EUR,5.5,1.168889,6.4288895
13,2018,Latvia,32.4,36.7,36.7,EUR,3.5,1.168889,4.0911115
14,2018,Lithuania,24.7,27.1,27.1,EUR,3.75,1.168889,4.38333375
15,2018,Luxembourg,19.8,21.7,21.7,EUR,5.3,1.168889,6.1951117
16,2018,Malta,22.4,25.1,25.1,EUR,5.5,1.168889,6.4288895
17,2018,Netherlands,20.1,23.4,23.4,EUR,7.0,1.168889,8.182223
18,2018,Portugal,24.8,27.9,27.9,EUR,5.0,1.168889,5.844445
19,2018,Slovakia,27.0,32.3,32.3,EUR,3.3,1.168889,3.8573337
20,2018,Slovenia,20.9,22.7,22.7,EUR,3.7,1.168889,4.324889300000001
21,2018,Spain,25.9,27.9,27.9,EUR,5.0,1.168889,5.844445
22,2018,Argentina,19.2,21.1,21.8,ARS,60.0,0.010153,0.60918
23,2018,Armenia,25.0,26.7,26.7,AMD,680.0,0.002035,1.3838
