Location,Lat,Lng
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
Andorra,42.506285,1.521801
Austria,47.516231,14.550072
Belgium,50.503887,4.469936
Cyprus,35.126413,33.429859
Estonia,58.595272,25.0136071
Finland,61.92410999999999,25.7481511
France,46.227638,2.213749
Germany,51.165691,10.451526
Greece,39.074208,21.824312
Ireland,53.41291,-8.24389
Italy,41.87194,12.56738
Latvia,56.879635,24.603189
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129582999999999
Malta,35.937496,14.375416
Netherlands,52.132633,5.291265999999999
Portugal,39.39987199999999,-8.224454
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
Spain,40.46366700000001,-3.74922
Argentina,-38.416097,-63.61667199999999
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Kiribati,-3.370417,-168.734039
Nauru,-0.522778,166.931503
Tuvalu,-7.109534999999999,177.64933
Azerbaijan,40.143105,47.576927
Bangladesh,23.684994,90.356331
Barbados,13.193887,-59.543198
Belarus,53.709807,27.953389
Benin,9.30769,2.315834
Burkina Faso,12.238333,-1.561593
Côte d’Ivoire,7.539988999999999,-5.547079999999999
Mali,17.570692,-3.996166
Niger,17.607789,8.081666
Senegal,14.497401,-14.452362
Togo,8.619543,0.824782
Bosnia and Herzegovina,43.915886,17.679076
Brazil,-14.235004,-51.92528
Cambodia,12.565679,104.990963
Chad,15.454166,18.732207
Congo,21.7587,-4.0383
Canada,56.130366,-106.346771
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Comoros,-11.6455,43.3333
Cook Islands,-21.236736,-159.777671
New Zealand,-40.900557,174.885971
Costa Rica,9.748916999999999,-83.753428
Croatia,45.1,15.2000001
Cuba,21.521757,-77.781167
Czechia,49.81749199999999,15.472962
Democratic People's Republic of Korea,127.5101,40.3399
Denmark,56.26392,9.501785
Dominican Republic,18.735693,-70.162651
Egypt,26.820553,30.802498
El Salvador,13.794185,-88.89653
Palau,7.514979999999999,134.58252
Zimbabwe,-19.015438,29.154857
Fiji,-17.713371,178.065032
Gambia,-15.3101,13.4432
Georgia,43.3569,42.3154
Ghana,7.946527,-1.023194
Guyana,4.860416,-58.93018
Iceland,64.963051,-19.020835
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran (Islamic Republic of),53.688,32.4279
Iraq,33.223191,43.679291
Israel,31.046051,34.851612
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Kazakhstan,48.019573,66.923684
Kuwait,29.31166,47.481766
Kyrgyzstan,41.20438,74.766098
Lao People's Democratic Republic,102.4955,19.8563
Lebanon,33.854721,35.862285
Madagascar,-18.766947,46.869107
Mauritius,-20.348404,57.55215200000001
Mexico,23.634501,-102.552784
Mongolia,46.862496,103.846656
Morocco,31.791702,-7.092619999999999
Mozambique,-18.665695,35.529562
Namibia,-22.95764,18.49041
Norway,60.47202399999999,8.468945999999999
Oman,21.4735329,55.975413
Pakistan,30.375321,69.34511599999999
Panama,8.537981,-80.782127
Paraguay,-23.442503,-58.443832
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Poland,51.919438,19.145136
Qatar,25.354826,51.183884
Republic of Korea,127.7669,35.9078
Republic of Moldova,28.3699,47.4116
Romania,45.943161,24.96676
Russian Federation,105.3188,61.524
Rwanda,-1.940278,29.873888
Samoa,-13.759029,-172.104629
Sao Tome and Principe,6.6131,0.1864
Saudi Arabia,23.885942,45.079162
Serbia,44.016521,21.005859
Seychelles,-4.679574,55.491977
Sierra Leone,8.460555,-11.779889
Singapore,1.352083,103.819836
Botswana,-22.328474,24.684866
Burundi,-3.373056,29.918886
Cameroon,7.369721999999999,12.354722
Timor-Leste,-8.874217,125.727539
United States of America,-95.7129,37.0902
Eritrea,15.179384,39.782334
Eswatini,-26.522503,31.465866
Ethiopia,9.145000000000001,40.489673
Kenya,-0.023559,37.906193
Liberia,6.428055,-9.429499000000002
Myanmar,95.956,21.9162
Nepal,28.394857,84.12400799999999
Nigeria,9.081999,8.675277
Lesotho,-29.609988,28.233608
