Location,CigaretteSmokingPrevalence
Albania,43.3
Algeria,11.1
Andorra,27.7
Austria,27
Belgium,23.4
Cyprus,29.9
Estonia,27.5
Finland,17.3
France,31.5
Germany,26
Greece,35.6
Ireland,21.1
Italy,22.8
Latvia,32.4
Lithuania,24.7
Luxembourg,19.8
Malta,22.4
Netherlands,20.1
Portugal,24.8
Slovakia,27
Slovenia,20.9
Spain,25.9
Argentina,19.2
Armenia,25
Australia,12.9
Kiribati,41.7
Nauru,37.6
Tuvalu,30.6
Azerbaijan,15.6
Bangladesh,17.7
Barbados,10.1
Belarus,39.9
Benin,4.1
Burkina Faso,10
CÃ´te dâ€™Ivoire,10.1
Mali,18.1
Niger,12.6
Senegal,12.5
Togo,10.2
Bosnia and Herzegovina,30.9
Brazil,15.3
Cambodia,16.1
Chad,12.3
Congo,12.2
Canada,12.5
Chile,34.5
China,22.6
Colombia,3.3
Comoros,18.8
Cook Islands,21.3
New Zealand,14
Costa Rica,4.5
Croatia,33.1
Cuba,19.4
Czechia,26.9
Democratic People's Republic of Korea,15.5
Denmark,16.8
Dominican Republic,4.8
Egypt,18.2
El Salvador,15.3
Palau,22.7
Zimbabwe,11.1
Fiji,34.6
Gambia,11.4
Georgia,4.8
Ghana,2.6
Guyana,2.2
Iceland,11
India,12.1
Indonesia,31.1
Iran (Islamic Republic of),16.6
Iraq,14.2
Israel,21.7
Jamaica,3.4
Japan,21.1
Kazakhstan,39.2
Kuwait,15
Kyrgyzstan,23.3
Lao People's Democratic Republic,39.9
Lebanon,25.9
Madagascar,14.7
Mauritius,3.2
Mexico,19.7
Mongolia,36.8
Morocco,11.7
Mozambique,11.3
Namibia,23.1
Norway,14.6
Oman,11.5
Pakistan,2.2
Panama,5
Paraguay,17.3
Peru,3.1
Philippines,37.7
Poland,24.3
Qatar,10.2
Republic of Korea,36.2
Republic of Moldova,40.1
Romania,22.8
Russian Federation,27.7
Rwanda,12.9
Samoa,23.1
Sao Tome and Principe,4.1
Saudi Arabia,18.6
Serbia,36.2
Seychelles,31
Sierra Leone,29.1
Singapore,25
